JobName,WorkPlace,WorkKind,JobID,JobDescribe,JobRequire
[中台产品经理（内容安全）- AI 创新业务],北京,产品 - 产品经理,A243515,"我们正在寻找一位专注于社区安全的资深产品经理，这个职位需深度了解行业和用户的需求，确保团队目标与业务的战略目标保持一致，协调各方团队达成目标，我们希望你具有出色的产品管理背景，并对社区安全有深刻的理解。

1、负责AIGC内容安全治理涉及的中后台产品设计和实现，为内容安全提供灵活的策略手段和能力支持；
2、深入了解内容安全策略及AIGC业务知识，抽象及落地对应的产品解决方案；
3、推进内部交流，协同业务团队、算法、研发团队，保证团队合作的顺畅，不同产品之间的协作等。","1、5年及以上中后台运营系统，规则引擎或中后台产品经理岗位工作经验；
2、优秀的逻辑思维能力、团队协作能力、沟通能力和自我驱动能力；
3、优秀的跨部门协作能力，自驱力强，结果导向，为结果负责；
4、加分项：有内容安全工具经验或风控经验。"
[服务平台高级产品专家-抖音生活服务],北京,产品,A43691,"1、负责抖音生活服务的服务平台产品功能设计与落地，产品包括但不限于用户-商家-平台服务链路系统化建设、用户服务保障能力；
2、基于抖音本地生活的服务场景，与业务运营一同推动面向用户的服务流程和策略系统化、体系化，基于数据迭代优化服务流程和策略；
3、定期主动制定产品方案与产品路径图，管理产品生命周期，紧密协调运营、研发、QA等资源，排除项目风险，保证高效率高质量完成产品交付，并持续跟进产品效果；
4、站在平台产品视角，规划和定义产品迭代方向，驱动业务目标的达成。","1、本科及以上学历，5年及以上服务体验或中后台平台产品搭建经验，有成熟的平台产品经验，规划设计过完整产品体系；
2、具有敏锐的需求洞察和抽象能力，能够从复杂业务逻辑中发现问题的本质，找到最优解决方案并推动落地；
3、有良好的团队沟通协作能力，能保障多业务、多角色的项目顺利推进，结果导向；
4、有复杂用户服务产品，或生活服务/电商商家后台，或客服系统经验相关产品经验者优先。"
[技术支持-数据产品-火山引擎],北京,研发 - 大数据,A143263,"1、作为L1角色，负责数据产品私有化交付客户的问题响应、需求反馈、故障跟踪处理等；
2、支持客户在售后阶段的服务需求，包括但不限于产品使用、问题反馈、故障响应等；
3、识别客户的紧急重要事件，识别客户投诉，按照流程规范进行有效的升级处理；
4、持续提升产品与技能专业度，不断提升问题首次解决率，降低客户对问题的沟通成本与等待时间；
5、协助维护客情关系。","1、本科及以上学历，计算机相关专业，具有两年以上工作经验，有toB行业技术支持经历者优先；
2、熟练掌握大数据相关生态技术栈包括Hadoop、Hive、Spark、Flink、Kafka、Clickhouse至少三种以上，有SQL编写能力；
3、至少熟悉一种脚本语言，Shell、Python等，有Go语言开发经验者优先；
4、理解大数据使用场景，有数据产品使用经验者优先；
5、具有良好的沟通、组织与协调的能力，有一定的抗压能力；
6、较强的服务意识、敬业精神及团队合作精神，愿意沟通，乐于分享，善于复盘总结。"
[后端研发工程师-大模型应用研发],北京,研发 - 后端,A97431A,"1、负责大模型基建相关研发，包括不限于PE、RAG、插件、大模型数据系统、大模型训练、大模型安全、大模型评估等基础能力建设；
2、负责大模型应用落地，参与抖音、今日头条、番茄小说等业务的大模型项目建设；
3、持续探索在各个业务场景下使用大模型能力优化产品体验、提升研发效率；
4、关注大模型前沿技术，跟进业内最新研究进展和应用趋势，提出创新思路和方向。","1、优秀的代码能力、数据结构和基础算法功底；
2、出色的问题分析和解决能力，能够洞悉复杂工程问题的本质，深入解决大模型训练和应用存在的问题；
3、良好的沟通协作能力，能够和多个团队高效协同，推进新技术应用；
4、熟悉大模型训练/推理过程中的算法、架构基础原理等，对大模型领域有强烈热情优先。"
[资深测试开发工程师-抖音电商即时零售],北京,研发 - 测试,A123605,"1、分析业务线产品需求，并参考技术实现方案，制定合理高效的测试方案，编写清晰的测试用例；
2、独立搭建并维护测试环境，并控制好项目测试过程和输出质量；
3、发现、定位、跟踪产品缺陷，协同开发工程师解决问题；
4、设计、编写、执行并维护自动化测试用例代码，优化测试框架；
5、开发测试工具，提高测试工作效率。","1、计算机相关专业，本科及以上学历，拥有扎实的专业基础；
2、3年以上互联网产品测试工作经验，熟悉Linux环境操作、SQL数据库操作；
3、熟练使用至少一种编程/脚本语言，精通GO编程优先，至少熟练使用一种社区开源测试框架；
4、从事过外卖、配送、即时零售、电商行业者优先。"
[抖音增长营销经理-预装方向],北京,市场,A242221,"1、负责今日头条、抖音等字节跳动国内产品的预装策略及效果优化；
2、根据业务增长数据和用户行为优化预装体验，综合利用手机与泛智能终端厂商的营销资源、系统特性，寻找促进产品转化及后续活跃的方法；
3、统筹预装项目管理，对相关预装需求进行分析，并给出解决方案；
4、跨部门协作，与产品、投放、研发等配合，推进方案上线并进行复盘。","1、本科及以上学历，1年以上相关工作经验；
2、熟悉并接触过以下任意一项为佳：多终端增长、厂商系统功能、手机系统特性等；
3、善于思考，拥有较强的执行力、沟通协作能力、逻辑分析能力；
4、对用户增长有热情，具备探索精神，能抽象并运用厂商资源与能力，驱动业务增长。"
[设计专家-短视频国际化-主架构 (北京)],北京,设计,A168887,"团队介绍：我们正在寻找对短视频产品「国际化」有热情和想法、能力全栈的设计师。你会在一个国际化的企业环境和文化里工作、学习、成长，你将会参与到产品设计和开发的全链路流程里，从一个产品想法开始，探索和迭代设计，跟踪和回顾项目上线效果，为全球用户的体验负责。

1、负责影响亿万用户的国际化短视频产品的 C 端产品设计工作，承担主架构方向的产品设计；
2、能根据一些初期的产品想法，从概念深入细化，探索能满足用户需求的方案，支持产品创新；
3、能独立承担负责重点项目，具备不错的 UI 视觉能力；
4、能深度使用和体验产品，理解业务，能自驱从数据和用户调研中发掘需求，转化为可行的设计方案并推进落地。","1、3-5 年 C 端互联网产品设计项目经验；
2、产品设计能力全栈，并具备优秀的产品和数据思维；
3、有较强的自驱力和学习能力，注重沉淀总结和复盘；
4、具备良好的沟通与协作能力，乐观积极，能适应快速的工作节奏；
5、热爱产品设计，对未知的事物保持好奇心，具备国际视野和背景，能够以英语作为工作语言；
6、加分项：Web 端设计经验、用户调研、动效技能、数据分析、懂技术实现。"
[音乐大模型算法工程师-国际音乐中台],上海,研发 - 算法,A49256,"团队介绍：负责公司音乐相关业务的大语言模型的研发和应用，相关研发技术和解决方案在国际音乐、国际化短视频、豆包、抖音等产品中应用，满足音乐相关业务场景中的用户不断增长的智能交互需求，全面提升用户在音乐相关的创作和消费场景的体验。

1、参与音乐相关大模型的研发，如音乐预训练、音乐多模态模型等；
2、参与大模型技术在音乐场景中的探索和落地，如音乐搜推、音乐助手、视频配乐等；
3、在音乐人工智能领域开展前沿研究，在领域顶级期刊或会议上发表论文。","1、熟悉常用的深度学习算法和模型，有基于深度学习的音视频内容理解或推荐等研究经历者优先；
2、对大模型技术有浓厚兴趣，有相关研究经历者优先；
3、有较好的算法和数据结构基础，有较好的编程能力；
4、有良好的英文文献阅读能力，有相关领域会议或期刊（如ICLR, NIPS, AAAI, ICML, IJCAI, ICASSP, ISMIR, TASLP）发表经验者优先。"
[智能审核算法Leader-国际电商],上海,研发,A93257,"团队介绍：平台治理国际电商算法团队，专注于与业务方产品和运营团队协作，对国际电商平台进行全面的生态和风险治理，涵盖商家与商品、创作者与内容两大方向。我们的目标是通过打击底线风险问题和优化健康电商生态，实现平台的可持续发展。智能审核作为平台治理算法团队的一个重要子方向，主要与审核产品和审核运营团队合作，致力于打造业内最先进的智能审核系统。工作内容包括优化审核模型算法、审核素材及提示，以及优化审核平台的人员排班调度和任务分配，实现审核质量和效率的持续提升。

1、领导智能审核算法团队，制定技术发展方向和策略；
2、通过优化审核模型算法，探索基于大模型和多模态模型的审核系统，提高模型自动审核覆盖比例；
3、优化审核平台的人员排班调度、任务分配、素材组织和提示，提高审核质量和效率；
4、与审核产品和运营团队紧密合作，确保审核系统的稳定性和高效性，推动审核质量和效率的持续提升；
5、关注业内最新技术动态，推动新技术在智能审核系统中的应用和落地。","1、计算机科学或相关领域的本科及以上学历，硕士/博士优先；
2、扎实的编程能力和深厚的数据结构、算法基础：精通NLP、计算机视觉（CV）和多模态中的1-2个领域，具备大规模模型训练或强化学习（RL）算法的实际应用经验；
3、熟悉大模型的基座建设、指令微调、偏好对齐、CoT、RAG等技术，能够解决长文本、少样本、违规素材提示、政策推荐等审核应用问题；
4、熟悉大模型模型的工具调用、API 交互能力，通过构建agent、multi-agent解决复杂问题；
5、有5年以上相关领域的工作经验，具备团队管理和项目领导经验；
6、有大模型实际落地经验，有在内容安全和电商领域经验者优先；
7、对前沿技术有敏锐的洞察力，能够将新技术迅速应用于实际业务中，推动审核系统的技术创新和优先；
8、优秀的团队合作精神和领导能力，具备出色的沟通技巧，能够有效带领团队探索和实施新技术。"
[直播游戏玩法用户产品经理-开播方向],北京,产品,A69088,"1、负责游戏玩法开播链路的产品与策略建设，包括但不限于开播工具与体验、引导与触达、教育及成长等，确保主播链路顺畅、体验良好，对主播规模与活跃指标负责；
2、负责游戏玩法短视频创作的产品及策略建设，包括但不限于发布器、转化锚点、内容分发等，为创作者与有效视频规模、效果转化目标负责；
3、自主规划并主导产品设计，跨团队多方协作，深入联动运营、研发、设计、算法等各环节角色推动项目落地并达成业务目标；
4、建立合理的数据指标体系，持续跟踪产品运营数据，对产品效果进行评估和分析，及时调整策略，实现产品的持续优化和迭代。","1、本科及以上学历，具备3年及以上用户产品工作经验，具备内容平台、直播、游戏背景者优先；
2、较强的沟通能力、项目管理能力和抗压能力，能够把握各方需求及整合资源，实现跨部门合作达成；
3、逻辑清晰，能系统地思考与解决问题，能全局性的统筹协调复杂业务；
4、理解内容生态，对内容产品有热情，有内容账号经营经验者优先。"
